"","sciname","SpecCode","IUCN_Code","Resilience","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","LongevityWild","Vulnerability","Length","CommonLength","Weight","Importance","PriceCateg","PriceReliability","Aquarium","AquariumFishII","Comments"
"416","Paracheilinus octotaenia",4840,"LC","High","fusiform / normal","reef-associated",NA,NA,NA,15.77,9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits coral-rich areas of seaward reefs to depths greater than 25 m (Ref. 9710)."
"417","Paracheilinus piscilineatus",59512,"LC","High","fusiform / normal","demersal",NA,35,NA,12.47,5.65,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Collected over rubble or rubble and sand bottom (Ref. 41634)."
"418","Paracheilinus rennyae",67260,"N.E.","High","fusiform / normal","pelagic-neritic",15,20,NA,13.37,6.04,NA,NA,NA,NA,NA,"never/rarely",NA,NA
"419","Paracheilinus rubricaudalis",61860,"LC","High","fusiform / normal","benthopelagic",15,46,NA,12.47,5.6,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely","","Occurs in outer reef slopes rubble bottoms in small groups of mix sexes with females outnumbering males (Ref. 90102).  Minimum depth from Ref. 90102."
"420","Paracheilinus togeanensis",59652,"LC","High",NA,"reef-associated",16,40,NA,12.93,7,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits outer reef slopes bottom rubble areas in small groups of mix sexes with females outnumbering males (Ref. 90102)."
"421","Paracheilinus walton",63983,"LC","High","fusiform / normal","reef-associated",18,45,NA,10,4.07,NA,NA,NA,NA,NA,"never/rarely",NA,"The area of collection (type locality) has a flat, low profile bottom at the base of a gentle (approximately 30°) slope at 34 m depth; substrate consisted of a dense mixture of spindly, branched <i>Seriatopora hystrix</i> coral (Pocilloporidae) and <i>Halimeda</i> alga.  Numerous groups of this species were observed, each containing about 1-3 males and up to about 20 females. Courtship activities were common with males continuously 'flashing' a short distance above the bottom (Ref. 75887)."
"422","Parajulis poecilepterus",5372,"LC","Low","fusiform / normal","demersal",NA,NA,NA,38.05,34,NA,NA,"commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found near shore, over pebble bottoms, rocky and coral reefs (Ref. 11230, 43239)."
"423","Pictilabrus brauni",54369,"DD","High","fusiform / normal","reef-associated",NA,NA,NA,15.77,7.4,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in shallow areas of reef and weed (Ref. 31790)."
"424","Pictilabrus laticlavius",46975,"LC","Medium","fusiform / normal","reef-associated",NA,40,NA,38.25,23,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits rocky reef-algal habitats and occurs to as deep as 40 m (Ref. 26203)."
"425","Pictilabrus viridis",46982,"LC","High",NA,"reef-associated",2,15,NA,28.48,14.05,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found in rocky reef-algal habitats, more common in the shallow surge zone (to 5 m depth) (Ref. 26203).  Minimum depth from Ref. 58018."
"426","Polylepion cruentum",13847,"DD","Medium","fusiform / normal","reef-associated",150,200,NA,31.55,24,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found over sandy bottoms associated with gravel and rocky reefs.  Caught as a by-catch of industrial trawl fishing.  Marketed fresh."
"427","Polylepion russelli",13040,"LC","Medium","fusiform / normal","reef-associated",100,353,NA,31.97,25,NA,NA,"commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Occurs in deep waters (Ref. 3921).  Benthopelagic (Ref. 58302)."
"428","Pseudocheilinops ataenia",5615,"LC","High","fusiform / normal","reef-associated",5,15,NA,12.01,6.5,NA,NA,"of no interest",NA,NA,"never/rarely",NA,"Mainly found in still coastal waters, where brittle corals grow high.  Occurs in small groups that feed actively among the lower and dead parts of the corals with coralline algae.  Easily overlooked because of its small size.  Length to 6.5 cm, but usually much smaller (Ref. 48636).  Always hides or stays close to its shelter (Ref. 90102).   A secretive species.  Feeds on amphipods and other small invertebrates.  Rarely found in the aquarium trade."
"429","Pseudocheilinus citrinus",55229,"LC","High","fusiform / normal","reef-associated",23,48,NA,14.62,6.6,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"430","Pseudocheilinus dispilus",55238,"DD","High","fusiform / normal","reef-associated",15,37,NA,16.89,7.82,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"431","Pseudocheilinus evanidus",5616,"LC","High","fusiform / normal","reef-associated",6,61,NA,15.77,9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found among patches of rubble or among branching coral of seaward reef slopes from 6 to at least 40 m (Ref. 9710, 58302).  Benthopelagic (Ref. 58302).  Rare in less than 20 m (Ref. 1602).  Generally solitary and feeds on small benthic invertebrates (Ref. 9710).  Secretive (Ref. 90102)."
"432","Pseudocheilinus hexataenia",5617,"LC","High","fusiform / normal","reef-associated",1,35,NA,18.38,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in seaward reefs among coral branches.  Also in clear coastal waters, dense coral habitats on shallow reef crest or slopes to depth of about 20 m.  Usually occurs in small loose groups.  A shy species, usually swimming amongst the protection of coral branches (Ref. 48636).  Feeds mainly on small crustaceans  (Ref. 1602).  Secretive (Ref. 37816)."
"433","Pseudocheilinus ocellatus",55234,"LC","High","fusiform / normal","reef-associated",20,70,NA,23.43,10.25,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits coral reef (Ref. 75154).  Cryptic species, prefers darker areas of the reefs (Ref. 33410).  Benthopelagic (Ref. 58302). Feeds on small benthic invertebrates (Ref. 89972)."
"434","Pseudocheilinus octotaenia",5618,"LC","High","fusiform / normal","reef-associated",2,50,NA,28.13,14,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits among rubble or live corals of seaward reefs (Ref. 1602), usually in caves and crevices with rich invertebrate growth to at least 40 m depth (Ref. 48636).  Benthopelagic (Ref. 58302).  Feeds mainly on benthic crustaceans, but also takes small mollusks, echinoids (sea urchins) (Ref. 1602), fish eggs, and crab larvae (Ref. 37816)."
"435","Pseudocheilinus tetrataenia",5619,"LC","High","fusiform / normal","reef-associated",6,44,NA,13.79,7.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","A secretive species that inhabits seaward reefs, among live coral or rubble (Ref. 1602).  Benthic and benthopelagic (Ref. 58302).  Often observed hiding around the base of small heads of live coral, especially <i>Pocillopora meandrina</i>.  Stomach contents of specimens taken from Oahu and Johnston I. consisted of demersal eggs, copepods, amphipods, alpheid shrimp, crab megalops, larval shrimp and gastropod.  However, it is likely that the copepods and larval food items are from demersal plankton because this species is never seen more than a few centimeters off the bottom (Ref. 33410)."
"436","Pseudocoris aequalis",63849,"DD","High","fusiform / normal","reef-associated",8,15,NA,24.92,11.2,NA,NA,NA,NA,NA,"never/rarely",NA,NA
"437","Pseudocoris aurantiofasciata",25783,"LC","Medium","fusiform / normal","reef-associated",NA,45,NA,28.88,20,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found to depths over 35 m in deep outer reef drop-offs.  Forms aggregations of females and a single dominating male (Ref. 48636).  Planktivores (Ref. 37816)."
"438","Pseudocoris bleekeri",59631,"LC","High","fusiform / normal","reef-associated",10,30,NA,24.47,15,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found solitary or in small groups (Ref. 90102) in coastal sand and rubble reef, usually flat substrate with remote coral bommies in current zones.  Mixes with various other fishes in open water to feed on zooplankton (Ref. 48636)."
"439","Pseudocoris heteroptera",11620,"LC","Medium","fusiform / normal","reef-associated",2,54,NA,28.88,20,15,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Found in outer reef crests in small aggregations (Ref. 8631).  Females occur in small groups, and usually a male is nearby (Ref. 48636).  Usually well above open bottoms with mixed sand, rubble, and coral (Ref. 9710).  Found in areas periodically exposed to strong currents (Ref. 90102).  Feeds on zooplankton (Ref. 9710)."
"440","Pseudocoris ocellata",27078,"DD","High","fusiform / normal","reef-associated",4,15,NA,24.65,11.08,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Hovers in the water column about 1-4 m above reef slopes (Ref. 12956).  Feeds on zooplankton during the day (Ref. 12956)."
"441","Pseudocoris petila",66869,"N.E.","High","elongated","reef-associated",10,25,NA,23.86,14,NA,NA,NA,NA,NA,"never/rarely",NA,"Inhabits sand, rubble and weed bottom, with scattered rocky boulders in 10-16 m depth (Ref 90102)."
"442","Pseudocoris yamashiroi",5639,"LC","High","Elongated","reef-associated",5,30,NA,25.07,16,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Found up to a depth of at least 25 m in lagoon, channel and seaward reefs (Ref. 9710).  Often on open sand flats with large remote bommies in depths of about 20 m.  Juveniles congregate on reefs, usually in depths of 10-20 m feeding on mysids (Ref. 48636).  Aggregates (with females outnumbering the males) along upper edges of coral slopes to feed on zooplankton (Ref. 9710, 48636)."
"443","Pseudodax moluccanus",5594,"LC","Medium","fusiform / normal","reef-associated",3,60,NA,34.51,30,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits clear channels and seaward reefs (Ref. 9710).  Juveniles are commonly found along drop-offs below 18 m (Ref. 9710).  Adults usually found near caves while juveniles frequently live inside them.  Adults are solitary and feed on algae and small invertebrates.  Juveniles have been observed 'cleaning' other fishes.  Because of its dentition, it is regarded as a close relative to the parrotfishes (Scaridae), although it behaves like the species of <i>Anampses</i>."
"444","Pseudojuloides argyreogaster",4847,"LC","High","elongated","demersal",NA,NA,NA,21.16,NA,NA,NA,"of no interest",NA,NA,"never/rarely",NA,NA
"445","Pseudojuloides atavai",4849,"DD","High","fusiform / normal","reef-associated",12,31,NA,23.16,13,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found well above the bottom of exposed seaward reefs and clear lagoons (Ref. 9710). Feeds on small invertebrates (Ref. 89972)."
"446","Pseudojuloides cerasinus",4851,"DD","High","fusiform / normal","reef-associated",2,61,NA,22.27,12.3,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in clear lagoon and seaward reefs; common over coral rubble with algal clumps or in areas dominated with live coral (Ref. 1602).  Rarely seen at depths less than 21 m (Ref. 9710).  Benthopelagic (Ref. 58302).  Population from Western Indian Ocean may be a different undescribed species (Ref. 90102)."
"447","Pseudojuloides edwardi",67650,"N.E.","High","elongated","pelagic-neritic",NA,NA,NA,10,7.3,NA,NA,NA,NA,NA,"never/rarely",NA,NA
"448","Pseudojuloides elongatus",4848,"DD","High",NA,"reef-associated",12,12,NA,23.86,14,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in weed beds."
"449","Pseudojuloides erythrops",4854,"LC","High","elongated","reef-associated",52,57,NA,18.38,10,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Occurs in seaward reefs, over rubble with some rock and coral (Ref. 9710)."
